concurrency,architecture,runs,rps_mean,rps_sd,rps_ci_low,rps_ci_high,mean_latency_mean,mean_latency_sd,latency_ci_low,latency_ci_high,p50_mean,p95_mean,p99_mean,cpu_mean,event_loop_p99_mean,total_errors,total_timeouts
175,jwt,5,3500.95,98.39,3378.80,3623.09,49.48,1.37,47.78,51.18,48.11,99.65,119.72,20.86,10.55,0,0
175,stateful,5,7950.55,185.10,7720.76,8180.34,21.54,0.52,20.90,22.18,21.03,33.22,38.75,28.45,22.02,0,0
180,jwt,5,4760.11,3118.28,888.87,8631.35,45.84,16.41,25.47,66.21,46.14,87.99,105.48,31.73,12.47,0,0
180,stateful,5,9011.74,1640.32,6975.34,11048.14,19.93,3.00,16.21,23.65,19.29,30.31,38.87,47.52,21.16,0,0
185,jwt,5,3416.70,129.13,3256.39,3577.01,53.66,2.02,51.15,56.18,53.45,107.26,133.39,21.57,10.67,0,0
185,stateful,5,8612.09,215.76,8344.23,8879.94,21.01,0.54,20.34,21.68,20.50,31.89,38.30,33.63,21.23,0,0
190,jwt,5,4540.80,2314.64,1667.25,7414.35,47.32,14.86,28.87,65.77,47.63,88.51,107.18,30.48,12.40,0,0
190,stateful,5,8713.44,204.28,8459.84,8967.05,21.34,0.50,20.72,21.96,20.97,32.05,39.44,33.40,21.01,0,0
195,jwt,5,3580.08,60.32,3505.19,3654.97,53.92,0.93,52.76,55.08,49.45,121.14,152.01,20.15,10.54,0,0
195,stateful,5,9165.41,519.85,8520.03,9810.78,20.84,1.13,19.44,22.24,20.38,31.14,38.22,35.88,20.83,0,0
200,jwt,5,3360.76,145.86,3179.68,3541.84,59.02,2.47,55.96,62.09,61.55,111.89,134.15,23.38,10.78,0,0
200,stateful,5,9084.38,249.69,8774.39,9394.36,21.54,0.60,20.80,22.28,21.27,30.62,37.18,34.64,18.95,0,0
205,jwt,5,5194.26,2277.46,2366.87,8021.65,45.03,17.48,23.34,66.72,41.93,100.22,132.92,34.98,12.64,0,0
205,stateful,5,9122.87,82.68,9020.23,9225.51,21.98,0.20,21.73,22.23,21.65,31.54,37.17,33.21,18.00,0,0
210,jwt,5,3474.76,258.42,3153.93,3795.58,60.16,4.67,54.36,65.96,61.72,123.26,154.38,22.36,10.70,0,0
210,stateful,5,9247.82,110.41,9110.75,9384.88,22.23,0.27,21.89,22.56,21.67,31.89,39.43,36.16,17.30,0,0
215,jwt,5,5383.77,2602.84,2152.44,8615.10,46.91,19.49,22.71,71.10,44.92,96.88,116.03,36.70,12.88,0,0
215,stateful,5,9298.55,246.25,8992.84,9604.27,22.65,0.60,21.90,23.40,22.30,31.35,37.48,34.54,16.85,0,0
220,jwt,5,3490.02,284.57,3136.74,3843.30,62.78,4.77,56.86,68.70,68.57,118.03,141.64,22.61,10.54,0,0
220,stateful,5,9246.31,102.99,9118.46,9374.17,23.31,0.26,22.98,23.63,23.26,32.39,39.09,30.96,16.53,0,0
225,jwt,5,4778.54,3078.38,956.85,8600.24,56.84,20.08,31.91,81.77,59.14,110.75,136.85,32.12,12.51,0,0
225,stateful,5,9935.78,1301.09,8320.52,11551.04,22.43,2.54,19.28,25.58,22.14,32.29,39.08,44.93,17.86,0,0
