run,architecture,concurrency,rps,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,errors,timeouts,non2xx,cpu_percent,event_loop_p99_ms,duration_ms,completed_requests,test_order,timestamp,node_version,machine_info
2,jwt,225,3267.74,68.23,75.68,143.33,180.28,0,0,0,20.30,10.76,30017,98237,1,2026-08-27T04:09:20.157Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,jwt,205,7464.40,26.97,21.15,78.54,116.33,0,0,0,56.89,12.77,30046,224117,2,2026-08-27T04:10:11.263Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
1,stateful,180,11936.27,14.61,14.60,20.57,28.16,0,0,0,89.31,19.61,30107,358260,3,2026-08-27T04:11:02.547Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
4,jwt,225,10276.27,21.40,21.30,27.41,33.58,0,0,0,71.09,19.28,30045,308479,4,2026-08-27T04:11:54.028Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,jwt,180,10327.47,16.95,16.85,22.40,27.85,0,0,0,68.72,19.45,30056,309983,5,2026-08-27T04:12:45.405Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
1,stateful,225,12258.34,17.90,17.48,28.63,36.84,0,0,0,84.30,21.04,30101,367957,6,2026-08-27T04:13:36.663Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
4,jwt,215,7696.00,27.44,23.44,51.33,59.86,0,0,0,57.12,16.62,30035,231075,7,2026-08-27T04:14:28.131Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,jwt,215,8709.34,24.20,22.12,42.61,51.90,0,0,0,62.60,15.91,30053,261470,8,2026-08-27T04:15:19.401Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,jwt,190,8661.94,21.44,19.80,38.16,48.75,0,0,0,61.68,18.96,30045,260030,9,2026-08-27T04:16:10.674Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
2,jwt,205,7886.30,25.47,20.16,53.29,97.76,0,0,0,53.44,18.38,30026,236791,10,2026-08-27T04:17:01.940Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,jwt,220,3496.00,62.34,61.03,133.97,179.20,0,0,0,18.33,10.58,30014,105087,11,2026-08-27T04:17:53.103Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
2,stateful,205,9125.80,21.98,21.59,30.78,36.57,0,0,0,34.59,16.52,30040,273953,12,2026-08-27T04:18:44.185Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,stateful,180,8360.54,21.04,20.22,33.00,41.40,0,0,0,36.68,21.89,30033,250984,13,2026-08-27T04:19:35.357Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
4,jwt,185,3353.00,54.64,58.91,98.25,118.24,0,0,0,23.64,10.57,30010,100761,14,2026-08-27T04:20:26.547Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
4,jwt,190,3315.40,56.76,62.09,98.15,111.09,0,0,0,21.30,10.58,30010,99638,15,2026-08-27T04:21:17.613Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
